line,reason,pickup_ts,dropoff_ts,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,distance,fare
577,bad_distance,,,,,,,,
578,bad_distance,,,,,,,,
579,bad_distance,,,,,,,,
580,bad_distance,,,,,,,,
581,bad_distance,,,,,,,,
582,bad_distance,,,,,,,,
583,bad_distance,,,,,,,,
584,bad_distance,,,,,,,,
585,bad_distance,,,,,,,,
586,bad_distance,,,,,,,,
587,bad_distance,,,,,,,,
588,bad_distance,,,,,,,,
589,bad_distance,,,,,,,,
590,bad_distance,,,,,,,,
591,bad_distance,,,,,,,,
592,bad_distance,,,,,,,,
593,bad_distance,,,,,,,,
594,bad_distance,,,,,,,,
595,bad_distance,,,,,,,,
596,bad_distance,,,,,,,,
597,bad_distance,,,,,,,,
598,bad_distance,,,,,,,,
599,bad_distance,,,,,,,,
600,bad_distance,,,,,,,,
601,bad_distance,,,,,,,,
602,bad_distance,,,,,,,,
603,bad_distance,,,,,,,,
604,bad_distance,,,,,,,,
605,bad_distance,,,,,,,,
606,bad_distance,,,,,,,,
607,bad_distance,,,,,,,,
608,bad_distance,,,,,,,,
609,bad_distance,,,,,,,,
610,bad_distance,,,,,,,,
611,bad_distance,,,,,,,,
612,bad_distance,,,,,,,,
613,bad_distance,,,,,,,,
614,bad_distance,,,,,,,,
615,bad_distance,,,,,,,,
616,bad_distance,,,,,,,,
617,bad_distance,,,,,,,,
618,bad_distance,,,,,,,,
619,bad_distance,,,,,,,,
620,bad_distance,,,,,,,,
621,bad_distance,,,,,,,,
622,bad_distance,,,,,,,,
623,bad_distance,,,,,,,,
624,bad_distance,,,,,,,,
625,bad_distance,,,,,,,,
626,bad_distance,,,,,,,,
627,bad_distance,,,,,,,,
628,bad_distance,,,,,,,,
629,bad_distance,,,,,,,,
630,bad_distance,,,,,,,,
631,bad_distance,,,,,,,,
632,bad_distance,,,,,,,,
633,bad_distance,,,,,,,,
634,bad_distance,,,,,,,,
635,bad_distance,,,,,,,,
636,bad_distance,,,,,,,,
637,bad_distance,,,,,,,,
638,bad_distance,,,,,,,,
639,bad_distance,,,,,,,,
640,bad_distance,,,,,,,,
641,bad_distance,,,,,,,,
642,bad_distance,,,,,,,,
643,bad_distance,,,,,,,,
644,bad_distance,,,,,,,,
645,bad_distance,,,,,,,,
646,bad_distance,,,,,,,,
647,bad_distance,,,,,,,,
648,bad_distance,,,,,,,,
649,bad_distance,,,,,,,,
650,bad_distance,,,,,,,,
651,bad_distance,,,,,,,,
652,bad_distance,,,,,,,,
653,bad_distance,,,,,,,,
654,bad_distance,,,,,,,,
655,bad_distance,,,,,,,,
656,bad_distance,,,,,,,,
657,bad_distance,,,,,,,,
658,bad_distance,,,,,,,,
659,bad_distance,,,,,,,,
660,bad_distance,,,,,,,,
661,bad_distance,,,,,,,,
662,bad_distance,,,,,,,,
663,bad_distance,,,,,,,,
664,bad_distance,,,,,,,,
665,bad_distance,,,,,,,,
666,bad_distance,,,,,,,,
667,bad_distance,,,,,,,,
668,bad_distance,,,,,,,,
669,bad_distance,,,,,,,,
670,bad_distance,,,,,,,,
671,bad_distance,,,,,,,,
672,bad_distance,,,,,,,,
673,bad_distance,,,,,,,,
674,bad_distance,,,,,,,,
675,bad_distance,,,,,,,,
676,bad_distance,,,,,,,,
677,bad_distance,,,,,,,,
678,bad_distance,,,,,,,,
679,bad_distance,,,,,,,,
680,bad_distance,,,,,,,,
681,bad_distance,,,,,,,,
682,bad_distance,,,,,,,,
683,bad_distance,,,,,,,,
684,bad_distance,,,,,,,,
685,bad_distance,,,,,,,,
686,bad_distance,,,,,,,,
687,bad_distance,,,,,,,,
688,bad_distance,,,,,,,,
689,bad_distance,,,,,,,,
690,bad_distance,,,,,,,,
691,bad_distance,,,,,,,,
692,bad_distance,,,,,,,,
693,bad_distance,,,,,,,,
694,bad_distance,,,,,,,,
695,bad_distance,,,,,,,,
696,bad_distance,,,,,,,,
697,bad_distance,,,,,,,,
698,bad_distance,,,,,,,,
699,bad_distance,,,,,,,,
700,bad_distance,,,,,,,,
701,bad_distance,,,,,,,,
702,bad_distance,,,,,,,,
703,bad_distance,,,,,,,,
704,bad_distance,,,,,,,,
705,bad_distance,,,,,,,,
706,bad_distance,,,,,,,,
707,bad_distance,,,,,,,,
708,bad_distance,,,,,,,,
709,bad_distance,,,,,,,,
710,bad_distance,,,,,,,,
711,bad_distance,,,,,,,,
712,bad_distance,,,,,,,,
713,bad_distance,,,,,,,,
714,bad_distance,,,,,,,,
715,bad_distance,,,,,,,,
716,bad_distance,,,,,,,,
717,bad_distance,,,,,,,,
718,bad_distance,,,,,,,,
719,bad_distance,,,,,,,,
720,bad_distance,,,,,,,,
721,bad_distance,,,,,,,,
722,bad_distance,,,,,,,,
723,bad_distance,,,,,,,,
724,bad_distance,,,,,,,,
725,bad_distance,,,,,,,,
726,bad_distance,,,,,,,,
727,bad_distance,,,,,,,,
728,bad_distance,,,,,,,,
729,bad_distance,,,,,,,,
730,bad_distance,,,,,,,,
731,bad_distance,,,,,,,,
732,bad_distance,,,,,,,,
733,bad_distance,,,,,,,,
734,bad_distance,,,,,,,,
735,bad_distance,,,,,,,,
736,bad_distance,,,,,,,,
737,bad_distance,,,,,,,,
738,bad_distance,,,,,,,,
739,bad_distance,,,,,,,,
740,bad_distance,,,,,,,,
741,bad_distance,,,,,,,,
742,bad_distance,,,,,,,,
743,bad_distance,,,,,,,,
744,bad_distance,,,,,,,,
745,bad_distance,,,,,,,,
746,bad_distance,,,,,,,,
747,bad_distance,,,,,,,,
748,bad_distance,,,,,,,,
749,bad_distance,,,,,,,,
750,bad_distance,,,,,,,,
751,bad_distance,,,,,,,,
752,bad_distance,,,,,,,,
753,bad_distance,,,,,,,,
754,bad_distance,,,,,,,,
755,bad_distance,,,,,,,,
756,bad_distance,,,,,,,,
757,bad_distance,,,,,,,,
758,bad_distance,,,,,,,,
759,bad_distance,,,,,,,,
760,bad_distance,,,,,,,,
761,bad_distance,,,,,,,,
762,bad_distance,,,,,,,,
763,bad_distance,,,,,,,,
764,bad_distance,,,,,,,,
765,bad_distance,,,,,,,,
766,bad_distance,,,,,,,,
767,bad_distance,,,,,,,,
768,bad_distance,,,,,,,,
769,bad_distance,,,,,,,,
770,bad_distance,,,,,,,,
771,bad_distance,,,,,,,,
772,bad_distance,,,,,,,,
773,bad_distance,,,,,,,,
774,bad_distance,,,,,,,,
775,bad_distance,,,,,,,,
776,bad_distance,,,,,,,,
777,bad_distance,,,,,,,,
778,bad_distance,,,,,,,,
779,bad_distance,,,,,,,,
780,bad_distance,,,,,,,,
781,bad_distance,,,,,,,,
782,bad_distance,,,,,,,,
783,bad_distance,,,,,,,,
784,bad_distance,,,,,,,,
785,bad_distance,,,,,,,,
786,bad_distance,,,,,,,,
787,bad_distance,,,,,,,,
788,bad_distance,,,,,,,,
789,bad_distance,,,,,,,,
790,bad_distance,,,,,,,,
791,bad_distance,,,,,,,,
792,bad_distance,,,,,,,,
793,bad_distance,,,,,,,,
794,bad_distance,,,,,,,,
795,bad_distance,,,,,,,,
796,bad_distance,,,,,,,,
797,bad_distance,,,,,,,,
798,bad_distance,,,,,,,,
799,bad_distance,,,,,,,,
800,bad_distance,,,,,,,,
801,bad_distance,,,,,,,,
802,bad_distance,,,,,,,,
803,bad_distance,,,,,,,,
804,bad_distance,,,,,,,,
805,bad_distance,,,,,,,,
806,bad_distance,,,,,,,,
807,bad_distance,,,,,,,,
808,bad_distance,,,,,,,,
809,bad_distance,,,,,,,,
810,bad_distance,,,,,,,,
811,bad_distance,,,,,,,,
812,bad_distance,,,,,,,,
813,bad_distance,,,,,,,,
814,bad_distance,,,,,,,,
815,bad_distance,,,,,,,,
816,bad_distance,,,,,,,,
817,bad_distance,,,,,,,,
818,bad_distance,,,,,,,,
819,bad_distance,,,,,,,,
820,bad_distance,,,,,,,,
821,bad_distance,,,,,,,,
822,bad_distance,,,,,,,,
823,bad_distance,,,,,,,,
824,bad_distance,,,,,,,,
825,bad_distance,,,,,,,,
826,bad_distance,,,,,,,,
827,bad_distance,,,,,,,,
828,bad_distance,,,,,,,,
829,bad_distance,,,,,,,,
830,bad_distance,,,,,,,,
831,bad_distance,,,,,,,,
832,bad_distance,,,,,,,,
833,bad_distance,,,,,,,,
834,bad_distance,,,,,,,,
835,bad_distance,,,,,,,,
836,bad_distance,,,,,,,,
837,bad_distance,,,,,,,,
838,bad_distance,,,,,,,,
839,bad_distance,,,,,,,,
840,bad_distance,,,,,,,,
841,bad_distance,,,,,,,,
842,bad_distance,,,,,,,,
843,bad_distance,,,,,,,,
844,bad_distance,,,,,,,,
845,bad_distance,,,,,,,,
846,bad_distance,,,,,,,,
847,bad_distance,,,,,,,,
848,bad_distance,,,,,,,,
849,bad_distance,,,,,,,,
850,bad_distance,,,,,,,,
851,bad_distance,,,,,,,,
852,bad_distance,,,,,,,,
853,bad_distance,,,,,,,,
854,bad_distance,,,,,,,,
855,bad_distance,,,,,,,,
